device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 4
  Num steps = 5550
step: 10 | train loss: 0.013060842640697956 | train acc 0.6892489194869995
step: 910 | train loss: 0.011246590875089169 | train acc 0.7338935732841492
step: 920 | train loss: 0.009034031070768833 | train acc 0.7816264629364014
step: 930 | train loss: 0.010922322049736977 | train acc 0.7566719055175781
step: 940 | train loss: 0.010103072971105576 | train acc 0.8103792667388916
step: 950 | train loss: 0.014519505202770233 | train acc 0.800000011920929
step: 960 | train loss: 0.013232596218585968 | train acc 0.8347826600074768
step: 970 | train loss: 0.009899229742586613 | train acc 0.7767295241355896
step: 980 | train loss: 0.008271620608866215 | train acc 0.7749648094177246
step: 990 | train loss: 0.008322600275278091 | train acc 0.8016806840896606
step: 1000 | train loss: 0.008960823528468609 | train acc 0.800000011920929
step: 1010 | train loss: 0.014768270775675774 | train acc 0.8080568909645081
step: 1020 | train loss: 0.013350368477404118 | train acc 0.8431952595710754
step: 1030 | train loss: 0.011755397543311119 | train acc 0.7730061411857605
step: 1040 | train loss: 0.008563576266169548 | train acc 0.7889221906661987
step: 1050 | train loss: 0.010680323466658592 | train acc 0.7388724088668823
step: 1060 | train loss: 0.008869865909218788 | train acc 0.7857142686843872
step: 1070 | train loss: 0.009708775207400322 | train acc 0.8248587250709534
step: 1080 | train loss: 0.009917287155985832 | train acc 0.8802227973937988
step: 1090 | train loss: 0.010876653715968132 | train acc 0.8419688940048218
step: 1100 | train loss: 0.009315266273915768 | train acc 0.7647929191589355
step: 1110 | train loss: 0.007702123839408159 | train acc 0.7890173196792603
step: 1120 | train loss: 0.008715501986443996 | train acc 0.7890173196792603
step: 1130 | train loss: 0.00969522725790739 | train acc 0.7720465660095215
step: 1140 | train loss: 0.013305675238370895 | train acc 0.7798165082931519
step: 1150 | train loss: 0.013230236247181892 | train acc 0.8092643022537231
step: 1160 | train loss: 0.01062050648033619 | train acc 0.7479674816131592
step: 1170 | train loss: 0.010211684741079807 | train acc 0.7492581605911255
step: 1180 | train loss: 0.009245462715625763 | train acc 0.762536883354187
step: 1190 | train loss: 0.00930829718708992 | train acc 0.7840909361839294
step: 1200 | train loss: 0.010802991688251495 | train acc 0.8023715615272522
step: 1210 | train loss: 0.01060470286756754 | train acc 0.8739726543426514
step: 1220 | train loss: 0.010179665870964527 | train acc 0.794432520866394
step: 1230 | train loss: 0.008984530344605446 | train acc 0.7947214245796204
step: 1240 | train loss: 0.010208850726485252 | train acc 0.7395683526992798
step: 1250 | train loss: 0.010669078677892685 | train acc 0.7496087551116943
step: 1260 | train loss: 0.01130386721342802 | train acc 0.7899461388587952
step: 1270 | train loss: 0.014281771145761013 | train acc 0.7983871102333069
step: 1280 | train loss: 0.014099066145718098 | train acc 0.8260869979858398
step: 1290 | train loss: 0.008530506864190102 | train acc 0.7669616341590881
step: 1300 | train loss: 0.008274519816040993 | train acc 0.7873303294181824
step: 1310 | train loss: 0.008081446401774883 | train acc 0.8027735352516174
step: 1320 | train loss: 0.009409049525856972 | train acc 0.802893340587616
step: 1330 | train loss: 0.014367209747433662 | train acc 0.7899999618530273
step: 1340 | train loss: 0.013608680106699467 | train acc 0.8459302186965942
step: 1350 | train loss: 0.009374856948852539 | train acc 0.8043088316917419
step: 1360 | train loss: 0.008491995744407177 | train acc 0.7863501310348511
step: 1370 | train loss: 0.009548970498144627 | train acc 0.8055105209350586
step: 1380 | train loss: 0.009534305892884731 | train acc 0.8507795333862305
step: 1390 | train loss: 0.008615679107606411 | train acc 0.8500000238418579
step: 1400 | train loss: 0.006702910177409649 | train acc 0.8370043635368347
step: 1410 | train loss: 0.006565566640347242 | train acc 0.8456090688705444
step: 1420 | train loss: 0.0053920806385576725 | train acc 0.880774974822998
step: 1430 | train loss: 0.007087795063853264 | train acc 0.8636363744735718
step: 1440 | train loss: 0.006907028146088123 | train acc 0.9040403962135315
step: 1450 | train loss: 0.00691057275980711 | train acc 0.9248554706573486
step: 1460 | train loss: 0.005179462023079395 | train acc 0.886996865272522
step: 1470 | train loss: 0.0069049629382789135 | train acc 0.8316546678543091
step: 1480 | train loss: 0.006275423802435398 | train acc 0.8466353416442871
step: 1490 | train loss: 0.006794061977416277 | train acc 0.8440366983413696
step: 1500 | train loss: 0.007274188566952944 | train acc 0.8720000386238098
step: 1510 | train loss: 0.007710415869951248 | train acc 0.9042552709579468
step: 1520 | train loss: 0.007781826425343752 | train acc 0.8801843523979187
step: 1530 | train loss: 0.0058383941650390625 | train acc 0.8452883362770081
step: 1540 | train loss: 0.0063781109638512135 | train acc 0.8608964085578918
step: 1550 | train loss: 0.007838997058570385 | train acc 0.831250011920929
step: 1560 | train loss: 0.009382843039929867 | train acc 0.856842041015625
step: 1570 | train loss: 0.005690482910722494 | train acc 0.9370276927947998
step: 1580 | train loss: 0.006721658632159233 | train acc 0.9382352828979492
step: 1590 | train loss: 0.007997977547347546 | train acc 0.8301886320114136
step: 1600 | train loss: 0.007106493692845106 | train acc 0.8209169507026672
step: 1610 | train loss: 0.006069250404834747 | train acc 0.8607954978942871
step: 1620 | train loss: 0.006043980363756418 | train acc 0.8744460940361023
step: 1630 | train loss: 0.007107090670615435 | train acc 0.8808081150054932
step: 1640 | train loss: 0.007502570748329163 | train acc 0.8961748480796814
step: 1650 | train loss: 0.008129987865686417 | train acc 0.8599605560302734
step: 1660 | train loss: 0.005797346588224173 | train acc 0.8544396162033081
step: 1670 | train loss: 0.005794031545519829 | train acc 0.853157103061676
step: 1680 | train loss: 0.005043281242251396 | train acc 0.8784194588661194
step: 1690 | train loss: 0.006654838565737009 | train acc 0.885185182094574
step: 1700 | train loss: 0.008739135228097439 | train acc 0.8897436261177063
step: 1710 | train loss: 0.008949347771704197 | train acc 0.9078211784362793
step: 1720 | train loss: 0.0058759343810379505 | train acc 0.8554033637046814
step: 1730 | train loss: 0.006914075929671526 | train acc 0.8267831206321716
step: 1740 | train loss: 0.007403257302939892 | train acc 0.837173581123352
step: 1750 | train loss: 0.008467355743050575 | train acc 0.8516483306884766
step: 1760 | train loss: 0.007798917591571808 | train acc 0.8962963223457336
step: 1770 | train loss: 0.0066608102060854435 | train acc 0.9239130616188049
step: 1780 | train loss: 0.00635884003713727 | train acc 0.8682842254638672
step: 1790 | train loss: 0.006795900873839855 | train acc 0.8214285373687744
step: 1800 | train loss: 0.006006603594869375 | train acc 0.8682170510292053
step: 1810 | train loss: 0.006681615486741066 | train acc 0.8535353541374207
step: 1820 | train loss: 0.006929464638233185 | train acc 0.892070472240448
step: 1830 | train loss: 0.0068092201836407185 | train acc 0.9285714030265808
step: 1840 | train loss: 0.006461998913437128 | train acc 0.8642241358757019
step: 1850 | train loss: 0.006112104281783104 | train acc 0.8476052284240723
step: 1860 | train loss: 0.006482562981545925 | train acc 0.8497024178504944
step: 1870 | train loss: 0.006685422733426094 | train acc 0.8596214652061462
step: 1880 | train loss: 0.0076028150506317616 | train acc 0.8436974883079529
step: 1890 | train loss: 0.007926540449261665 | train acc 0.8767442107200623
step: 1900 | train loss: 0.006436879746615887 | train acc 0.9497041702270508
step: 1910 | train loss: 0.005780452396720648 | train acc 0.8502907156944275
step: 1920 | train loss: 0.006874225568026304 | train acc 0.8520179390907288
step: 1930 | train loss: 0.005527777131646872 | train acc 0.8797564506530762
step: 1940 | train loss: 0.005891520995646715 | train acc 0.8611111044883728
step: 1950 | train loss: 0.006985106971114874 | train acc 0.9081885814666748
step: 1960 | train loss: 0.007570444140583277 | train acc 0.9046154022216797
step: 1970 | train loss: 0.005896191578358412 | train acc 0.871086597442627
step: 1980 | train loss: 0.006033782381564379 | train acc 0.8571428656578064
step: 1990 | train loss: 0.006789706647396088 | train acc 0.8285714387893677
step: 2000 | train loss: 0.006549354642629623 | train acc 0.8578125238418579
step: 2010 | train loss: 0.005894171539694071 | train acc 0.8793103098869324
step: 2020 | train loss: 0.006914098747074604 | train acc 0.9188405871391296
step: 2030 | train loss: 0.009371217340230942 | train acc 0.895721971988678
step: 2040 | train loss: 0.006221686489880085 | train acc 0.8512518405914307
step: 2050 | train loss: 0.006515985354781151 | train acc 0.8452200293540955
step: 2060 | train loss: 0.005357487592846155 | train acc 0.8812500238418579
step: 2070 | train loss: 0.0053739994764328 | train acc 0.8736000061035156
step: 2080 | train loss: 0.007371732499450445 | train acc 0.8918269276618958
step: 2090 | train loss: 0.00701948581263423 | train acc 0.9255952835083008
step: 2100 | train loss: 0.006820827256888151 | train acc 0.8415214419364929
step: 2110 | train loss: 0.007765800692141056 | train acc 0.8275862336158752
step: 2120 | train loss: 0.006266310345381498 | train acc 0.8547654747962952
step: 2130 | train loss: 0.0055527654476463795 | train acc 0.8813008069992065
step: 2140 | train loss: 0.007440424058586359 | train acc 0.8858351111412048
step: 2150 | train loss: 0.010257440619170666 | train acc 0.9054877758026123
step: 2160 | train loss: 0.0069737727753818035 | train acc 0.8715789318084717
step: 2170 | train loss: 0.006639162078499794 | train acc 0.8242074847221375
step: 2180 | train loss: 0.006275599356740713 | train acc 0.8447024822235107
step: 2190 | train loss: 0.005848202388733625 | train acc 0.869983971118927
step: 2200 | train loss: 0.007701798342168331 | train acc 0.857988178730011
step: 2210 | train loss: 0.00747500266879797 | train acc 0.9107142686843872
step: 2220 | train loss: 0.008375100791454315 | train acc 0.904477596282959
step: 2230 | train loss: 0.00628648279234767 | train acc 0.8421851396560669
step: 2240 | train loss: 0.006048019975423813 | train acc 0.8504273295402527
step: 2250 | train loss: 0.007109413854777813 | train acc 0.8450919985771179
step: 2260 | train loss: 0.006200670730322599 | train acc 0.8681135177612305
step: 2270 | train loss: 0.0067391712218523026 | train acc 0.8644400835037231
step: 2280 | train loss: 0.009259155951440334 | train acc 0.9142012000083923
step: 2290 | train loss: 0.006830987054854631 | train acc 0.8610525727272034
step: 2300 | train loss: 0.006277409847825766 | train acc 0.8534850478172302
step: 2310 | train loss: 0.007074448280036449 | train acc 0.8459302186965942
step: 2320 | train loss: 0.007816188037395477 | train acc 0.8578512668609619
step: 2330 | train loss: 0.006286462768912315 | train acc 0.8847517371177673
step: 2340 | train loss: 0.006219417788088322 | train acc 0.9197860956192017
step: 2350 | train loss: 0.0071311527863144875 | train acc 0.9015957117080688
step: 2360 | train loss: 0.007261062506586313 | train acc 0.8333333730697632
step: 2370 | train loss: 0.007505001034587622 | train acc 0.8481203317642212
step: 2380 | train loss: 0.006267661228775978 | train acc 0.870917558670044
step: 2390 | train loss: 0.007119097281247377 | train acc 0.8559176921844482
step: 2400 | train loss: 0.009329509921371937 | train acc 0.873350977897644
step: 2410 | train loss: 0.006959307938814163 | train acc 0.919881284236908
step: 2420 | train loss: 0.008601837791502476 | train acc 0.8271604776382446
step: 2430 | train loss: 0.005450937896966934 | train acc 0.8757225275039673
step: 2440 | train loss: 0.00582701712846756 | train acc 0.8449275493621826
step: 2450 | train loss: 0.007605728693306446 | train acc 0.8601285815238953
step: 2460 | train loss: 0.007131404243409634 | train acc 0.8763102293014526
step: 2470 | train loss: 0.00842978898435831 | train acc 0.9073569178581238
step: 2480 | train loss: 0.00642558466643095 | train acc 0.8926174640655518
step: 2490 | train loss: 0.006527237128466368 | train acc 0.8291667103767395
step: 2500 | train loss: 0.006314930971711874 | train acc 0.8554033637046814
step: 2510 | train loss: 0.005840480327606201 | train acc 0.8640483617782593
step: 2520 | train loss: 0.005947008728981018 | train acc 0.8776859641075134
step: 2530 | train loss: 0.006879306398332119 | train acc 0.8956916332244873
step: 2540 | train loss: 0.006866117473691702 | train acc 0.9127907156944275
step: 2550 | train loss: 0.005664745811372995 | train acc 0.8645357489585876
step: 2560 | train loss: 0.00622797105461359 | train acc 0.8525547385215759
step: 2570 | train loss: 0.004823340568691492 | train acc 0.8775811195373535
step: 2580 | train loss: 0.00651769433170557 | train acc 0.8564885258674622
step: 2590 | train loss: 0.008417717181146145 | train acc 0.8596882224082947
step: 2600 | train loss: 0.007981430739164352 | train acc 0.9067055583000183
step: 2610 | train loss: 0.007268976885825396 | train acc 0.8594059944152832
step: 2620 | train loss: 0.006979904603213072 | train acc 0.8443465232849121
step: 2630 | train loss: 0.006025343667715788 | train acc 0.8399412631988525
step: 2640 | train loss: 0.006014967802911997 | train acc 0.8558823466300964
step: 2650 | train loss: 0.006582345813512802 | train acc 0.8778195977210999
step: 2660 | train loss: 0.009104674682021141 | train acc 0.904347836971283
step: 2670 | train loss: 0.006874816492199898 | train acc 0.8872180581092834
step: 2680 | train loss: 0.006596243008971214 | train acc 0.8313432931900024
step: 2690 | train loss: 0.007023218087852001 | train acc 0.834319531917572
step: 2700 | train loss: 0.006800834089517593 | train acc 0.8653530478477478
step: 2710 | train loss: 0.007729148492217064 | train acc 0.8770949840545654
step: 2720 | train loss: 0.0086109209805727 | train acc 0.8872549533843994
step: 2730 | train loss: 0.006035767029970884 | train acc 0.9016393423080444
step: 2740 | train loss: 0.008107157424092293 | train acc 0.8256410360336304
step: 2750 | train loss: 0.006161055061966181 | train acc 0.8545727133750916
step: 2760 | train loss: 0.006430889014154673 | train acc 0.8514190316200256
step: 2770 | train loss: 0.007934515364468098 | train acc 0.8938271999359131
step: 2780 | train loss: 0.005781842861324549 | train acc 0.8810572624206543
step: 2790 | train loss: 0.00446271663531661 | train acc 0.882022500038147
step: 2800 | train loss: 0.00431623263284564 | train acc 0.89552241563797
step: 2810 | train loss: 0.004486503079533577 | train acc 0.9201452136039734
step: 2820 | train loss: 0.00405618641525507 | train acc 0.9392033219337463
step: 2830 | train loss: 0.004327336326241493 | train acc 0.941504180431366
step: 2840 | train loss: 0.004253912717103958 | train acc 0.9596541523933411
step: 2850 | train loss: 0.005338928196579218 | train acc 0.8930920958518982
step: 2860 | train loss: 0.00551823154091835 | train acc 0.8803544640541077
step: 2870 | train loss: 0.0037456920836120844 | train acc 0.916167676448822
step: 2880 | train loss: 0.004958584904670715 | train acc 0.9119170904159546
step: 2890 | train loss: 0.00549306208267808 | train acc 0.9179601073265076
step: 2900 | train loss: 0.004895681515336037 | train acc 0.9475219249725342
step: 2910 | train loss: 0.003304257756099105 | train acc 0.940740704536438
step: 2920 | train loss: 0.004584169015288353 | train acc 0.8814504742622375
step: 2930 | train loss: 0.00398574024438858 | train acc 0.9055472612380981
step: 2940 | train loss: 0.004768403712660074 | train acc 0.8940809965133667
step: 2950 | train loss: 0.004061473533511162 | train acc 0.9333333373069763
step: 2960 | train loss: 0.00284653645940125 | train acc 0.9694656729698181
step: 2970 | train loss: 0.0037611303851008415 | train acc 0.9647058844566345
step: 2980 | train loss: 0.004578209016472101 | train acc 0.8947368264198303
step: 2990 | train loss: 0.004573384299874306 | train acc 0.8967136144638062
step: 3000 | train loss: 0.003888465464115143 | train acc 0.9146164655685425
step: 3010 | train loss: 0.004344335291534662 | train acc 0.9247136116027832
step: 3020 | train loss: 0.0035096313804388046 | train acc 0.9625000357627869
step: 3030 | train loss: 0.0034634575713425875 | train acc 0.9714285731315613
step: 3040 | train loss: 0.004857252351939678 | train acc 0.8896797299385071
step: 3050 | train loss: 0.0047005703672766685 | train acc 0.8778409361839294
step: 3060 | train loss: 0.005788522772490978 | train acc 0.859050452709198
step: 3070 | train loss: 0.003351671854034066 | train acc 0.9292452335357666
step: 3080 | train loss: 0.004950759932398796 | train acc 0.905730128288269
step: 3090 | train loss: 0.0060435025952756405 | train acc 0.9525222778320312
step: 3100 | train loss: 0.004491396248340607 | train acc 0.915032684803009
step: 3110 | train loss: 0.0040838527493178844 | train acc 0.8911466002464294
step: 3120 | train loss: 0.004016886465251446 | train acc 0.9069767594337463
step: 3130 | train loss: 0.003543028375133872 | train acc 0.9216966032981873
step: 3140 | train loss: 0.004695951472967863 | train acc 0.9202334880828857
step: 3150 | train loss: 0.004570883233100176 | train acc 0.9550561904907227
step: 3160 | train loss: 0.002705976599827409 | train acc 0.9682996869087219
step: 3170 | train loss: 0.004117012023925781 | train acc 0.9051204323768616
step: 3180 | train loss: 0.005200345069169998 | train acc 0.8728813529014587
step: 3190 | train loss: 0.004109764005988836 | train acc 0.9216300845146179
step: 3200 | train loss: 0.0045766825787723064 | train acc 0.9014925360679626
step: 3210 | train loss: 0.004115174058824778 | train acc 0.928982675075531
step: 3220 | train loss: 0.005972863174974918 | train acc 0.9339339733123779
step: 3230 | train loss: 0.004838142544031143 | train acc 0.89453125
step: 3240 | train loss: 0.0040799640119075775 | train acc 0.9069767594337463
step: 3250 | train loss: 0.003420772962272167 | train acc 0.9120566844940186
step: 3260 | train loss: 0.0036358044017106295 | train acc 0.9110473394393921
step: 3270 | train loss: 0.004253971856087446 | train acc 0.9119266271591187
step: 3280 | train loss: 0.004320336040109396 | train acc 0.9424083828926086
step: 3290 | train loss: 0.003444102592766285 | train acc 0.9616368412971497
step: 3300 | train loss: 0.0044178105890750885 | train acc 0.898975133895874
step: 3310 | train loss: 0.003796387230977416 | train acc 0.9089595079421997
step: 3320 | train loss: 0.00520829763263464 | train acc 0.883685827255249
step: 3330 | train loss: 0.005561818368732929 | train acc 0.8987783789634705
step: 3340 | train loss: 0.005539697594940662 | train acc 0.9215686321258545
step: 3350 | train loss: 0.004154797177761793 | train acc 0.9553571343421936
step: 3360 | train loss: 0.0039030916523188353 | train acc 0.9170653820037842
step: 3370 | train loss: 0.005780202802270651 | train acc 0.8611111044883728
step: 3380 | train loss: 0.003846342209726572 | train acc 0.9039039015769958
step: 3390 | train loss: 0.00449844216927886 | train acc 0.9104991555213928
step: 3400 | train loss: 0.005203635431826115 | train acc 0.9282699823379517
step: 3410 | train loss: 0.0037532642018049955 | train acc 0.9666666984558105
step: 3420 | train loss: 0.004119652323424816 | train acc 0.9193547964096069
step: 3430 | train loss: 0.0032038195058703423 | train acc 0.9208211302757263
step: 3440 | train loss: 0.0041780476458370686 | train acc 0.8996913433074951
step: 3450 | train loss: 0.004880024120211601 | train acc 0.8961661458015442
step: 3460 | train loss: 0.0039261323399841785 | train acc 0.9269161820411682
step: 3470 | train loss: 0.006176800932735205 | train acc 0.9251337051391602
step: 3480 | train loss: 0.0028843346517533064 | train acc 0.9686609506607056
step: 3490 | train loss: 0.004210466518998146 | train acc 0.9076433181762695
step: 3500 | train loss: 0.005985419265925884 | train acc 0.8662704229354858
step: 3510 | train loss: 0.00715939886868 | train acc 0.8575757145881653
step: 3520 | train loss: 0.004043191205710173 | train acc 0.9129082560539246
step: 3530 | train loss: 0.0042973728850483894 | train acc 0.9295454025268555
step: 3540 | train loss: 0.004080058075487614 | train acc 0.9640884399414062
step: 3550 | train loss: 0.005042319186031818 | train acc 0.8990291357040405
step: 3560 | train loss: 0.003656666725873947 | train acc 0.9092159867286682
step: 3570 | train loss: 0.004093820229172707 | train acc 0.9077155590057373
step: 3580 | train loss: 0.004101969301700592 | train acc 0.9170653820037842
step: 3590 | train loss: 0.0038165447767823935 | train acc 0.9517374634742737
step: 3600 | train loss: 0.0034607411362230778 | train acc 0.9577836990356445
step: 3610 | train loss: 0.0033915371168404818 | train acc 0.9673024415969849
step: 3620 | train loss: 0.0053174495697021484 | train acc 0.8906705975532532
step: 3630 | train loss: 0.005141076166182756 | train acc 0.8805309534072876
step: 3640 | train loss: 0.00729783670976758 | train acc 0.8469539284706116
step: 3650 | train loss: 0.0037781319115310907 | train acc 0.9370229244232178
step: 3660 | train loss: 0.002920732134953141 | train acc 0.9599056839942932
step: 3670 | train loss: 0.0036855668295174837 | train acc 0.95652174949646
step: 3680 | train loss: 0.007009781897068024 | train acc 0.875432550907135
step: 3690 | train loss: 0.004163927398622036 | train acc 0.8980510234832764
step: 3700 | train loss: 0.003320713760331273 | train acc 0.9265129566192627
step: 3710 | train loss: 0.004553810227662325 | train acc 0.9111111164093018
step: 3720 | train loss: 0.004895653109997511 | train acc 0.9173076748847961
step: 3730 | train loss: 0.00278642144985497 | train acc 0.9591346383094788
step: 3740 | train loss: 0.004692734219133854 | train acc 0.9250535368919373
step: 3750 | train loss: 0.003363492898643017 | train acc 0.9248554706573486
step: 3760 | train loss: 0.0046622259542346 | train acc 0.872648298740387
step: 3770 | train loss: 0.004262885544449091 | train acc 0.9099236726760864
step: 3780 | train loss: 0.004971370100975037 | train acc 0.9077181220054626
step: 3790 | train loss: 0.005282146856188774 | train acc 0.944736897945404
step: 3800 | train loss: 0.0037490474060177803 | train acc 0.9722222685813904
step: 3810 | train loss: 0.005676847882568836 | train acc 0.8768545985221863
step: 3820 | train loss: 0.004796096123754978 | train acc 0.8948994874954224
step: 3830 | train loss: 0.004226174205541611 | train acc 0.8995502591133118
step: 3840 | train loss: 0.004041110631078482 | train acc 0.9233176708221436
step: 3850 | train loss: 0.004795527085661888 | train acc 0.9313929080963135
step: 3860 | train loss: 0.006458288989961147 | train acc 0.9352112412452698
step: 3870 | train loss: 0.004344011191278696 | train acc 0.9211618900299072
step: 3880 | train loss: 0.005448188632726669 | train acc 0.8797101974487305
step: 3890 | train loss: 0.004635991994291544 | train acc 0.8769898414611816
step: 3900 | train loss: 0.0035404344089329243 | train acc 0.9183359146118164
step: 3910 | train loss: 0.003966739401221275 | train acc 0.9337348937988281
step: 3920 | train loss: 0.004054003860801458 | train acc 0.965944230556488
step: 3930 | train loss: 0.0040171486325562 | train acc 0.9502617716789246
step: 3940 | train loss: 0.00436225114390254 | train acc 0.8809869289398193
step: 3950 | train loss: 0.004474600777029991 | train acc 0.9074354767799377
step: 3960 | train loss: 0.004357506521046162 | train acc 0.9009433388710022
step: 3970 | train loss: 0.004092972259968519 | train acc 0.9207746386528015
step: 3980 | train loss: 0.005478371400386095 | train acc 0.9223743677139282
step: 3990 | train loss: 0.0059438529424369335 | train acc 0.966292142868042
